id	sus_g	inf_g	end_g	sus_e	inf_e	end_e	sus_pt	inf_pt	end_pt	r0_g	r0_pt
1	-0.727304	-0.395156	-0.12054	0.0038666	-0.00254683	0.000973578	-0.7234374	-0.39770283	-0.119566422	-1.243	-1.240706652
2	0.321952	-0.3337	-0.0585636	0.00236241	-0.00105495	0.000694404	0.32431441	-0.33475495	-0.057869196	-0.0703116	-0.068309736
3	-0.411132	-0.537744	-0.157373	0.00112303	-0.000249218	0.000365186	-0.41000897	-0.537993218	-0.157007814	-1.106249	-1.105010002
4	0.249539	-0.922188	-0.084825	0.00213128	-0.00182856	0.000517787	0.25167028	-0.92401656	-0.084307213	-0.757474	-0.756653493
5	0.892617	-0.406154	0.142867	0.00459278	-0.00209099	0.00133272	0.89720978	-0.40824499	0.14419972	0.62933	0.63316451
6	0.77725	-0.0698167	0.0982232	-0.000376036	0.00070762	-7.02597e-05	0.776873964	-0.06910908	0.0981529403	0.8056565	0.8059178243
7	-0.23502	-0.272212	-0.00563539	-0.00108651	-0.000542914	-0.000410313	-0.23610651	-0.272754914	-0.006045703	-0.51286739	-0.514907127
8	0.588798	0.0142307	0.152028	0.0041328	-0.0020044	0.00111306	0.5929308	0.0122263	0.15314106	0.7550567	0.75829816
9	0.470325	-0.232128	0.140743	0.00133408	-0.0013215	0.000354364	0.47165908	-0.2334495	0.141097364	0.37894	0.379306944
10	-0.736648	0.308294	-0.109196	0.00181718	-0.00123044	0.00056331	-0.73483082	0.30706356	-0.10863269	-0.53755	-0.53639995
11	1.40384	-0.457349	0.147338	-0.00211163	0.000999242	-0.00051323	1.40172837	-0.456349758	0.14682477	1.093829	1.092203382
12	0.943219	-1.08794	0.08808	0.00336772	-0.00180419	0.000911261	0.94658672	-1.08974419	0.088991261	-0.0566409999999999	-0.054166209
13	-0.620946	1.1727	0.02576	0.000651562	-0.000231418	0.000204372	-0.620294438	1.172468582	0.025964372	0.577514	0.578138516
14	0.0517817	-0.151562	0.0174628	-0.00267783	0.00174828	-0.000643679	0.04910387	-0.14981372	0.016819121	-0.0823175	-0.083890729
15	-1.9194	0.751887	-0.228411	0.00172589	-0.000827888	0.000534475	-1.91767411	0.751059112	-0.227876525	-1.395924	-1.394491523
16	0.313318	0.259437	0.00324836	-0.00127112	0.000658964	-0.00036613	0.31204688	0.260095964	0.00288223	0.57600336	0.575025074
17	-2.33677	0.672366	-0.257803	-0.00202559	0.00183927	-0.000459647	-2.33879559	0.67420527	-0.258262647	-1.922207	-1.922852967
18	0.4666	0.354454	0.144693	0.00113361	-0.000883523	6.54231e-05	0.46773361	0.353570477	0.1447584231	0.965747	0.9660625101
19	0.00100261	-0.182038	-0.0160739	0.00177308	-0.00142078	0.000583647	0.00277569	-0.18345878	-0.015490253	-0.19710929	-0.196173343
20	-0.23222	-0.706324	-0.0765436	0.00180986	-0.00224073	0.000401833	-0.23041014	-0.70856473	-0.076141767	-1.0150876	-1.015116637
21	0.489813	0.587495	0.0744694	0.00109465	-0.000644812	0.000369234	0.49090765	0.586850188	0.074838634	1.1517774	1.152596472
22	-1.63279	1.04433	-0.158912	-0.00345895	0.00258571	-0.000905371	-1.63624895	1.04691571	-0.159817371	-0.747372	-0.749150611
23	0.103428	-0.245005	0.000301106	-0.0036502	0.00253398	-0.000817385	0.0997778	-0.24247102	-0.000516279	-0.141275894	-0.143209499
24	0.101624	-0.546396	-0.061512	-0.000289383	-0.0005308	-3.73813e-05	0.101334617	-0.5469268	-0.0615493813	-0.506284	-0.5071415643
25	-0.469169	0.547029	-0.106019	-0.001898	0.000841136	-0.000513974	-0.471067	0.547870136	-0.106532974	-0.028159	-0.029729838
26	-0.366263	0.654546	-0.0134147	-0.00211481	0.000923937	-0.000651501	-0.36837781	0.655469937	-0.014066201	0.2748683	0.273025926
