TN	d1	d2	d3	d4	d5	d6	d7	d8	d9	d10
1	100	100	100	100	100	100	100	100	100	100
2	83.17	100	100	100	100	100	100	100	100	100
3	66.64	91.61	100	100	100	100	100	100	100	100
4	50	80.43	96.73	100	100	100	100	100	100	100
5	33.31	61	85.56	98.05	100	100	100	100	100	100
6	16.7	38.74	68.9	90.75	98.46	100	100	100	100	100
7	0	8.34	35.04	68.94	90.63	98.45	100	100	100	100
8	0	8.34	35.04	68.94	90.63	98.45	100	100	100	100
9	0	5.56	26.72	60.13	87.36	98.45	100	100	100	100
10	0	5.56	26.29	58.88	86.59	98.45	100	100	100	100
11	0	2.76	15.29	42.1	74.11	94.6	100	100	100	100
12	0	2.76	15.29	42.1	74.11	94.6	100	100	100	100
13	0	0	1.01	11.44	39.41	74.15	94.63	100	100	100
14	0	0	1.01	11.44	39.41	74.15	94.63	100	100	100
15	0	0	1.01	11.44	39.41	74.15	94.63	99.99	100	100
16	0	0	0.5	8.95	34.82	69.94	93.04	99.99	100	100
17	0	0	0.5	7.41	30.99	66.99	92.7	99.99	100	100
18	0	0	0.5	7.41	30.99	66.99	92.7	99.99	100	100
19	0	0	0	4.4	22.72	55.87	85.29	97.65	100	100
20	0	0	0	4.4	22.72	55.87	85.29	97.65	100	100
25	0	0	0	0	2.35	17.51	51.86	85.6	99.09	100
30	0	0	0	0	2.34	17.29	51.45	85.24	98.94	100
35	0	0	0	0	1.3	11.68	42.31	79.68	98.1	99.65
40	0	0	0	0	0	3.99	23.52	59.03	89.01	99.43
45	0	0	0	0	0	2.59	18.48	53.4	87.26	99.37
50	0	0	0	0	0	0.2	5.4	29.25	69.38	95.59
55	0	0	0	0	0	0	3.83	24.75	63.66	92.55
60	0	0	0	0	0	0	3.83	24.75	63.66	92.54
65	0	0	0	0	0	0	2.28	18.33	55.38	88.77
70	0	0	0	0	0	0	2.28	18.33	55.38	88.77
75	0	0	0	0	0	0	0	4.96	29.13	68.9
80	0	0	0	0	0	0	0	4.93	28.93	68.5
85	0	0	0	0	0	0	0	3.85	25.83	66.15
90	0	0	0	0	0	0	0	3.85	25.83	66.15
95	0	0	0	0	0	0	0	3.2	23.13	62.49
100	0	0	0	0	0	0	0	0.98	12.28	46.56
105	0	0	0	0	0	0	0	0.98	12.12	45.88
110	0	0	0	0	0	0	0	0	6.04	33.03
115	0	0	0	0	0	0	0	0	6.04	33.03
120	0	0	0	0	0	0	0	0	6.04	33.03
125	0	0	0	0	0	0	0	0	4.14	26.79
130	0	0	0	0	0	0	0	0	4.14	26.63
135	0	0	0	0	0	0	0	0	4.14	26.63
140	0	0	0	0	0	0	0	0	4.06	26.19
145	0	0	0	0	0	0	0	0	0.16	8.47
150	0	0	0	0	0	0	0	0	0.16	8.47
155	0	0	0	0	0	0	0	0	0.16	8.3
160	0	0	0	0	0	0	0	0	0.16	8.3
165	0	0	0	0	0	0	0	0	0	6.44
170	0	0	0	0	0	0	0	0	0	6.44
175	0	0	0	0	0	0	0	0	0	6.44
180	0	0	0	0	0	0	0	0	0	6.44
185	0	0	0	0	0	0	0	0	0	5.07
190	0	0	0	0	0	0	0	0	0	5.07
195	0	0	0	0	0	0	0	0	0	2.73
200	0	0	0	0	0	0	0	0	0	2.73
205	0	0	0	0	0	0	0	0	0	2.73
210	0	0	0	0	0	0	0	0	0	2.73
215	0	0	0	0	0	0	0	0	0	2.73
220	0	0	0	0	0	0	0	0	0	0
