"id"	"sire"	"dam"	"sdp"	"group"	"index_case"	"Tinf"	"Tsym"	"Trec"
1			"sire"					
2			"sire"					
3			"sire"					
4			"sire"					
5			"sire"					
6			"sire"					
7			"sire"					
8			"sire"					
9			"sire"					
10			"sire"					
11			"sire"					
12			"sire"					
13			"sire"					
14			"sire"					
15			"sire"					
16			"sire"					
17			"sire"					
18			"sire"					
19			"sire"					
20			"sire"					
21			"sire"					
22			"sire"					
23			"sire"					
24			"sire"					
25			"sire"					
26			"sire"					
27			"sire"					
28			"sire"					
29			"sire"					
30			"dam"					
31			"dam"					
32			"dam"					
33			"dam"					
34			"dam"					
35			"dam"					
36			"dam"					
37			"dam"					
38			"dam"					
39			"dam"					
40			"dam"					
41			"dam"					
42			"dam"					
43			"dam"					
44			"dam"					
45			"dam"					
46			"dam"					
47			"dam"					
48			"dam"					
49			"dam"					
50			"dam"					
51			"dam"					
52			"dam"					
53			"dam"					
54			"dam"					
55	23	50	"progeny"	1	1	0	4	5
56	23	50	"progeny"	1	1	0	3	5
57	23	50	"progeny"	1	1	0	3	6
58	23	50	"progeny"	1	1	0	3	5
59	23	50	"progeny"	1	1	0		5
60	1	31	"progeny"	1	0	82	82	89
61	1	31	"progeny"	1	0			69
62	1	31	"progeny"	1	0	39	39	46
63	1	31	"progeny"	1	0	76	76	83
64	1	31	"progeny"	1	0			104
65	21	43	"progeny"	1	0	81	81	92
66	21	43	"progeny"	1	0	39	39	104
67	21	43	"progeny"	1	0	39	39	104
68	21	43	"progeny"	1	0	35	35	41
69	21	43	"progeny"	1	0	3	3	80
70	4	30	"progeny"	1	0	3	3	6
71	4	30	"progeny"	1	0	55	55	60
72	4	30	"progeny"	1	0	8	8	9
73	4	30	"progeny"	1	0	33	33	34
74	4	30	"progeny"	1	0	53	53	55
75	13	46	"progeny"	1	0			64
76	13	46	"progeny"	1	0	53	53	56
77	13	46	"progeny"	1	0	28	28	39
78	13	46	"progeny"	1	0	43	43	54
79	13	46	"progeny"	1	0	49	49	57
80	23	50	"progeny"	2	1	0	4	5
81	23	50	"progeny"	2	1	0	5	5
82	23	50	"progeny"	2	1	0	3	5
83	23	50	"progeny"	2	1	0	3	6
