id	sire	dam	fb_id	fb_sire	fb_dam	pp_id	pp_sire	pp_dam	sdp	trial	group
1			FB-Y-145			T17	0	0	sire		
2			FB-Y-146			R18	0	0	sire		
3			FB-Y-147			R50	0	0	sire		
4			FB-Y-152			R19	0	0	sire		
5			FB-Y-156			T20	0	0	sire		
6			FB-Y-159			T21	0	0	sire		
7			FB-Y-162			T22	0	0	sire		
8			FB-Y-154			T51	0	0	sire		
9			FB-Y-1			T1	0	0	sire		
10			FB-Y-5			T2	0	0	sire		
11			FB-Y-7			R3	0	0	sire		
12			FB-Y-35			R4	0	0	sire		
13			FB-Y-40			T5	0	0	sire		
14			FB-Y-64			R7	0	0	sire		
15			FB-Y-65			R45	0	0	sire		
16			FB-Y-66			R8	0	0	sire		
17			FB-Y-75			R46	0	0	sire		
18			FB-Y-85			R9	0	0	sire		
19			FB-Y-87			T10	0	0	sire		
20			FB-Y-88			T11	0	0	sire		
21			FB-Y-89			R12	0	0	sire		
22			FB-Y-92			FB-Y-92	0	0	sire		
23			FB-Y-94			T48	0	0	sire		
24			FB-Y-112			R14	0	0	sire		
25			FB-Y-131			R15	0	0	sire		
26			FB-Y-130			R49	0	0	sire		
27			FB-Y-58			T6	0	0	sire		
28			FB-Y-100			T13	0	0	sire		
29			FB-Y-143			T16	0	0	sire		
30			FB-X-329			R37	0	0	dam		
31			FB-X-330			T38	0	0	dam		
32			FB-X-334			R39	0	0	dam		
33			FB-X-343			R40	0	0	dam		
34			FB-X-350			R41	0	0	dam		
35			FB-X-353			T43	0	0	dam		
36			FB-X-351			R42	0	0	dam		
37			FB-X-356			T44	0	0	dam		
38			FB-X-279			T35	0	0	dam		
39			FB-X-186			R29	0	0	dam		
40			FB-X-208			R32	0	0	dam		
41			FB-X-302			T54	0	0	dam		
42			FB-X-7			R24	0	0	dam		
43			FB-X-168			R25	0	0	dam		
44			FB-X-169			R26	0	0	dam		
45			FB-X-189			R31	0	0	dam		
46			FB-X-230			R33	0	0	dam		
47			FB-X-282			R36	0	0	dam		
48			FB-X-5			R23	0	0	dam		
49			FB-X-178			R27	0	0	dam		
50			FB-X-180			R52	0	0	dam		
51			FB-X-183			T28	0	0	dam		
52			FB-X-188			T30	0	0	dam		
53			FB-X-232			T34	0	0	dam		
54			FB-X-234			R53	0	0	dam		
55	23	50	1	FB-Y-94	FB-X-180	1	T48	R52	progeny	1	1
56	23	50	2	FB-Y-94	FB-X-180	2	T48	R52	progeny	1	1
57	23	50	3	FB-Y-94	FB-X-180	3	T48	R52	progeny	1	1
58	23	50	4	FB-Y-94	FB-X-180	4	T48	R52	progeny	1	1
59	23	50	5	FB-Y-94	FB-X-180	5	T48	R52	progeny	1	1
60	1	31	6	FB-Y-145	FB-X-330	6	T17	T38	progeny	1	1
61	1	31	7	FB-Y-145	FB-X-330	7	T17	T38	progeny	1	1
62	1	31	8	FB-Y-145	FB-X-330	8	T17	T38	progeny	1	1
63	1	31	9	FB-Y-145	FB-X-330	9	T17	T38	progeny	1	1
64	1	31	10	FB-Y-145	FB-X-330	10	T17	T38	progeny	1	1
65	21	43	11	FB-Y-89	FB-X-168	11	R12	R25	progeny	1	1
66	21	43	12	FB-Y-89	FB-X-168	12	R12	R25	progeny	1	1
67	21	43	13	FB-Y-89	FB-X-168	13	R12	R25	progeny	1	1
68	21	43	14	FB-Y-89	FB-X-168	14	R12	R25	progeny	1	1
69	21	43	15	FB-Y-89	FB-X-168	15	R12	R25	progeny	1	1
70	4	30	16	FB-Y-152	FB-X-329	16	R19	R37	progeny	1	1
71	4	30	17	FB-Y-152	FB-X-329	17	R19	R37	progeny	1	1
72	4	30	18	FB-Y-152	FB-X-329	18	R19	R37	progeny	1	1
73	4	30	19	FB-Y-152	FB-X-329	19	R19	R37	progeny	1	1
74	4	30	20	FB-Y-152	FB-X-329	20	R19	R37	progeny	1	1
75	13	46	21	FB-Y-40	FB-X-230	21	T5	R33	progeny	1	1
76	13	46	22	FB-Y-40	FB-X-230	22	T5	R33	progeny	1	1
77	13	46	23	FB-Y-40	FB-X-230	23	T5	R33	progeny	1	1
78	13	46	24	FB-Y-40	FB-X-230	24	T5	R33	progeny	1	1
79	13	46	25	FB-Y-40	FB-X-230	25	T5	R33	progeny	1	1
80	23	50	26	FB-Y-94	FB-X-180	26	T48	R52	progeny	1	2
81	23	50	27	FB-Y-94	FB-X-180	27	T48	R52	progeny	1	2
82	23	50	28	FB-Y-94	FB-X-180	28	T48	R52	progeny	1	2
83	23	50	29	FB-Y-94	FB-X-180	29	T48	R52	progeny	1	2
84	23	50	30	FB-Y-94	FB-X-180	30	T48	R52	progeny	1	2
85	1	37	31	FB-Y-145	FB-X-356	31	T17	T44	progeny	1	2
86	1	37	32	FB-Y-145	FB-X-356	32	T17	T44	progeny	1	2
87	1	37	33	FB-Y-145	FB-X-356	33	T17	T44	progeny	1	2
88	1	37	34	FB-Y-145	FB-X-356	34	T17	T44	progeny	1	2
89	1	37	35	FB-Y-145	FB-X-356	35	T17	T44	progeny	1	2
90	7	35	36	FB-Y-162	FB-X-353	36	T22	T43	progeny	1	2
91	7	35	37	FB-Y-162	FB-X-353	37	T22	T43	progeny	1	2
92	7	35	38	FB-Y-162	FB-X-353	38	T22	T43	progeny	1	2
93	7	35	39	FB-Y-162	FB-X-353	39	T22	T43	progeny	1	2
94	7	35	40	FB-Y-162	FB-X-353	40	T22	T43	progeny	1	2
95	4	34	41	FB-Y-152	FB-X-350	41	R19	R41	progeny	1	2
96	4	34	42	FB-Y-152	FB-X-350	42	R19	R41	progeny	1	2
97	4	34	43	FB-Y-152	FB-X-350	43	R19	R41	progeny	1	2
98	4	34	44	FB-Y-152	FB-X-350	44	R19	R41	progeny	1	2
99	4	34	45	FB-Y-152	FB-X-350	45	R19	R41	progeny	1	2
100	9	51	46	FB-Y-1	FB-X-183	46	T1	T28	progeny	1	2
101	9	51	47	FB-Y-1	FB-X-183	47	T1	T28	progeny	1	2
102	9	51	48	FB-Y-1	FB-X-183	48	T1	T28	progeny	1	2
103	9	51	49	FB-Y-1	FB-X-183	49	T1	T28	progeny	1	2
104	9	51	50	FB-Y-1	FB-X-183	50	T1	T28	progeny	1	2
105	23	50	51	FB-Y-94	FB-X-180	51	T48	R52	progeny	1	3
106	23	50	52	FB-Y-94	FB-X-180	52	T48	R52	progeny	1	3
107	23	50	53	FB-Y-94	FB-X-180	53	T48	R52	progeny	1	3
108	23	50	54	FB-Y-94	FB-X-180	54	T48	R52	progeny	1	3
109	23	50	55	FB-Y-94	FB-X-180	55	T48	R52	progeny	1	3
110	2	36	56	FB-Y-146	FB-X-351	56	R18	R42	progeny	1	3
111	2	36	57	FB-Y-146	FB-X-351	57	R18	R42	progeny	1	3
112	2	36	58	FB-Y-146	FB-X-351	58	R18	R42	progeny	1	3
113	2	36	59	FB-Y-146	FB-X-351	59	R18	R42	progeny	1	3
114	2	36	60	FB-Y-146	FB-X-351	60	R18	R42	progeny	1	3
115	18	48	61	FB-Y-85	FB-X-5	61	R9	R23	progeny	1	3
116	18	48	62	FB-Y-85	FB-X-5	62	R9	R23	progeny	1	3
117	18	48	63	FB-Y-85	FB-X-5	63	R9	R23	progeny	1	3
118	18	48	64	FB-Y-85	FB-X-5	64	R9	R23	progeny	1	3
119	18	48	65	FB-Y-85	FB-X-5	65	R9	R23	progeny	1	3
120	10	43	66	FB-Y-5	FB-X-168	66	T2	R25	progeny	1	3
121	10	43	67	FB-Y-5	FB-X-168	67	T2	R25	progeny	1	3
122	10	43	68	FB-Y-5	FB-X-168	68	T2	R25	progeny	1	3
123	10	43	69	FB-Y-5	FB-X-168	69	T2	R25	progeny	1	3
124	10	43	70	FB-Y-5	FB-X-168	70	T2	R25	progeny	1	3
125	13	39	71	FB-Y-40	FB-X-186	71	T5	R29	progeny	1	3
126	13	39	72	FB-Y-40	FB-X-186	72	T5	R29	progeny	1	3
127	13	39	73	FB-Y-40	FB-X-186	73	T5	R29	progeny	1	3
128	13	39	74	FB-Y-40	FB-X-186	74	T5	R29	progeny	1	3
129	13	39	75	FB-Y-40	FB-X-186	75	T5	R29	progeny	1	3
130	23	50	76	FB-Y-94	FB-X-180	76	T48	R52	progeny	1	4
131	23	50	77	FB-Y-94	FB-X-180	77	T48	R52	progeny	1	4
132	23	50	78	FB-Y-94	FB-X-180	78	T48	R52	progeny	1	4
133	23	50	79	FB-Y-94	FB-X-180	79	T48	R52	progeny	1	4
134	23	50	80	FB-Y-94	FB-X-180	80	T48	R52	progeny	1	4
135	2	37	81	FB-Y-146	FB-X-356	81	R18	T44	progeny	1	4
136	2	37	82	FB-Y-146	FB-X-356	82	R18	T44	progeny	1	4
137	2	37	83	FB-Y-146	FB-X-356	83	R18	T44	progeny	1	4
138	2	37	84	FB-Y-146	FB-X-356	84	R18	T44	progeny	1	4
139	2	37	85	FB-Y-146	FB-X-356	85	R18	T44	progeny	1	4
140	9	43	86	FB-Y-1	FB-X-168	86	T1	R25	progeny	1	4
141	4	34	87	FB-Y-152	FB-X-350	87	R19	R41	progeny	1	4
142	9	43	88	FB-Y-1	FB-X-168	88	T1	R25	progeny	1	4
143	9	43	89	FB-Y-1	FB-X-168	89	T1	R25	progeny	1	4
144	9	43	90	FB-Y-1	FB-X-168	90	T1	R25	progeny	1	4
145	7	39	91	FB-Y-162	FB-X-186	91	T22	R29	progeny	1	4
146	7	39	92	FB-Y-162	FB-X-186	92	T22	R29	progeny	1	4
147	7	39	93	FB-Y-162	FB-X-186	93	T22	R29	progeny	1	4
148	7	39	94	FB-Y-162	FB-X-186	94	T22	R29	progeny	1	4
149	7	39	95	FB-Y-162	FB-X-186	95	T22	R29	progeny	1	4
150	19	40	96	FB-Y-87	FB-X-208	96	T10	R32	progeny	1	4
151	19	40	97	FB-Y-87	FB-X-208	97	T10	R32	progeny	1	4
152	19	40	98	FB-Y-87	FB-X-208	98	T10	R32	progeny	1	4
153	19	40	99	FB-Y-87	FB-X-208	99	T10	R32	progeny	1	4
154	19	40	100	FB-Y-87	FB-X-208	100	T10	R32	progeny	1	4
155	23	50	101	FB-Y-94	FB-X-180	101	T48	R52	progeny	1	5
156	23	50	102	FB-Y-94	FB-X-180	102	T48	R52	progeny	1	5
157	23	50	103	FB-Y-94	FB-X-180	103	T48	R52	progeny	1	5
158	23	50	104	FB-Y-94	FB-X-180	104	T48	R52	progeny	1	5
159	23	50	105	FB-Y-94	FB-X-180	105	T48	R52	progeny	1	5
160	19	46	106	FB-Y-87	FB-X-230	106	T10	R33	progeny	1	5
161	19	46	107	FB-Y-87	FB-X-230	107	T10	R33	progeny	1	5
162	19	46	108	FB-Y-87	FB-X-230	108	T10	R33	progeny	1	5
163	19	46	109	FB-Y-87	FB-X-230	109	T10	R33	progeny	1	5
164	19	46	110	FB-Y-87	FB-X-230	110	T10	R33	progeny	1	5
165	21	32	111	FB-Y-89	FB-X-334	111	R12	R39	progeny	1	5
166	21	32	112	FB-Y-89	FB-X-334	112	R12	R39	progeny	1	5
167	21	32	113	FB-Y-89	FB-X-334	113	R12	R39	progeny	1	5
168	21	32	114	FB-Y-89	FB-X-334	114	R12	R39	progeny	1	5
169	21	32	115	FB-Y-89	FB-X-334	115	R12	R39	progeny	1	5
170	10	43	116	FB-Y-5	FB-X-168	116	T2	R25	progeny	1	5
171	10	43	117	FB-Y-5	FB-X-168	117	T2	R25	progeny	1	5
172	10	43	118	FB-Y-5	FB-X-168	118	T2	R25	progeny	1	5
173	10	43	119	FB-Y-5	FB-X-168	119	T2	R25	progeny	1	5
174	10	43	120	FB-Y-5	FB-X-168	120	T2	R25	progeny	1	5
175	1	37	121	FB-Y-145	FB-X-356	121	T17	T44	progeny	1	5
176	1	37	122	FB-Y-145	FB-X-356	122	T17	T44	progeny	1	5
177	1	37	123	FB-Y-145	FB-X-356	123	T17	T44	progeny	1	5
178	1	37	124	FB-Y-145	FB-X-356	124	T17	T44	progeny	1	5
179	1	37	125	FB-Y-145	FB-X-356	125	T17	T44	progeny	1	5
180	23	50	126	FB-Y-94	FB-X-180	126	T48	R52	progeny	1	6
181	23	50	127	FB-Y-94	FB-X-180	127	T48	R52	progeny	1	6
182	23	50	128	FB-Y-94	FB-X-180	128	T48	R52	progeny	1	6
183	23	50	129	FB-Y-94	FB-X-180	129	T48	R52	progeny	1	6
184	23	50	130	FB-Y-94	FB-X-180	130	T48	R52	progeny	1	6
