original ID,Individual recoded,Trial,Box,Box recoded,Family (old),Family NEW,Donor (D) / Receptor (R),Weight start (g),Weight  end or death (g),Description of symptoms,Day of first symptoms,Day of death,parasites,Donor (D) / Receptor (R),Donor fam,Family combinations,Original sire ID,Sire_rec,Original sire ID,Dam_rec,Sex,Genotype,Weight start (g),Weight category,Description of symptoms,Ascite,Belly up,Color change,Haemorragia,Depigmentation,Erratic swimming,Wound,Day start to end (resilience),Days onset symptoms (susceptibility),Days onset to death (tolerance) ,Removed (yes/no),"Resilience (0 dead/UC, 1 survive/C)","Resistance (0 dead/UC, 1 survive/C)","Tolerance (0 dead/UC, 1 survive/C)"
1,1,1,1,1,23,23,D,29.5,29.2,belly up,2014-10-06,2014-10-07,YES,D,D,1,FB-Y-94,27,FB-X-180,25,NA,Yes,29.5,3,belly up,,x,,,,,,5,4,1,no,0,0,0
2,2,1,1,1,23,23,D,22,20.3,color change,2014-10-05,2014-10-07,YES,D,D,1,FB-Y-94,27,FB-X-180,25,NA,Yes,22,1,color change,,,x,,,,,5,3,2,no,0,0,0
3,3,1,1,1,23,23,D,30.2,28.9,color change,2014-10-05,2014-10-08,YES,D,D,1,FB-Y-94,27,FB-X-180,25,NA,Yes,30.2,3,color change,,,x,,,,,6,3,3,no,0,0,0
4,4,1,1,1,23,23,D,22,21.6,color change,2014-10-05,2014-10-07,YES,D,D,1,FB-Y-94,27,FB-X-180,25,NA,Yes,22,1,color change,,,x,,,,,5,3,2,no,0,0,0
5,5,1,1,1,23,23,D,21.4,20.3,NA,NA,2014-10-07,YES,D,D,1,FB-Y-94,27,FB-X-180,25,NA,Yes,21.4,1,NA,,,,,,,,5,NA,NA,no,0,no,no
6,6,1,1,1,16,16,R,21.6,30.8,color change,2014-12-23,2014-12-30,YES,R,23,1,FB-Y-145,1,FB-X-330,2,Female,Yes,21.6,1,color change,,,x,,,,,89,82,7,no,0,0,0
7,7,1,1,1,16,16,R,15.4,25,NA,NA,2014-12-10,YES,R,23,1,FB-Y-145,1,FB-X-330,2,Female,Yes,15.4,1,NA,,,,,,,,69,NA,NA,no,0,no,no
8,8,1,1,1,16,16,R,29.5,42.1,haemorrhage in pectoral fin,2014-11-10,2014-11-17,YES,R,23,1,FB-Y-145,1,FB-X-330,2,Male,Yes,29.5,3,haemorrhage in pectoral fin,,,,x,,,,46,39,7,no,0,0,0
9,9,1,1,1,16,16,R,29.9,46.4,color change,2014-12-17,2014-12-24,YES,R,23,1,FB-Y-145,1,FB-X-330,2,Male,Yes,29.9,3,color change,,,x,,,,,83,76,7,no,0,0,0
10,10,1,1,1,16,16,R,33.7,72.8,NA,NA,2015-01-14,Slaughtered,R,23,1,FB-Y-145,1,FB-X-330,2,Male,Yes,33.7,4,NA,,,,,,,,104,104,NA,no,1,1,no
11,11,1,1,1,10,10,R,43.7,74.4,color change,2014-12-22,2015-01-02,YES,R,23,1,FB-Y-89,24,FB-X-168,18,Female,Yes,43.7,5,color change,,,x,,,,,92,81,11,no,0,0,0
12,12,1,1,1,10,10,R,36.4,98.9,wound in the fin labeled,2014-11-10,2015-01-14,Slaughtered,R,23,1,FB-Y-89,24,FB-X-168,18,Female,Yes,36.4,4,wound in the fin labeled,,,,,,,x,104,39,65,no,1,0,1
13,13,1,1,1,10,10,R,37.9,95.2,hemorrhage in the pectoral fin,2014-11-10,2015-01-14,Slaughtered,R,23,1,FB-Y-89,24,FB-X-168,18,Female,Yes,37.9,4,hemorrhage in the pectoral fin,,,,x,,,,104,39,65,no,1,0,1
14,14,1,1,1,10,10,R,39.1,NA,color change,2014-11-06,2014-11-12,YES,R,23,1,FB-Y-89,24,FB-X-168,18,Male,Yes,39.1,4,color change,,,x,,,,,41,35,6,no,0,0,0
15,15,1,1,1,10,10,R,31.2,NA,wound in the fin labeled,2014-10-05,2014-12-21,YES,R,23,1,FB-Y-89,24,FB-X-168,18,NA,Yes,31.2,3,wound in the fin labeled,,,,,,,x,80,3,77,no,0,0,0
16,16,1,1,1,12,12,R,37.6,32.7,hemorrhage in the pectoral fin,2014-10-05,2014-10-08,YES,R,23,1,FB-Y-152,4,FB-X-329,1,Female,Yes,37.6,4,hemorrhage in the pectoral fin,,,,x,,,,6,3,3,no,0,0,0
17,17,1,1,1,12,12,R,46.8,60.8,color change,2014-11-26,2014-12-01,YES,R,23,1,FB-Y-152,4,FB-X-329,1,Female,Yes,46.8,5,color change,,,x,,,,,60,55,5,no,0,0,0
18,18,1,1,1,12,12,R,28.3,25.7,belly up,2014-10-10,2014-10-11,YES,R,23,1,FB-Y-152,4,FB-X-329,1,Female,Yes,28.3,2,belly up,,x,,,,,,9,8,1,no,0,0,0
19,19,1,1,1,12,12,R,36.1,32.8,exophthalmia,2014-11-04,2014-11-05,YES,R,23,1,FB-Y-152,4,FB-X-329,1,Female,Yes,36.1,4,exophthalmia,,,,,,x,,34,33,1,no,0,0,0
20,20,1,1,1,12,12,R,36.6,47.4,color change,2014-11-24,2014-11-26,YES,R,23,1,FB-Y-152,4,FB-X-329,1,Female,Yes,36.6,4,color change,,,x,,,,,55,53,2,no,0,0,0
21,21,1,1,1,39,39,R,23,32.4,NA,NA,2014-12-05,YES,R,23,1,FB-Y-40,16,FB-X-230,21,Male,Yes,23,1,NA,,,,,,,,64,NA,NA,no,0,no,no
22,22,1,1,1,39,39,R,29.3,31.7,color change,2014-11-24,2014-11-27,YES,R,23,1,FB-Y-40,16,FB-X-230,21,Male,Yes,29.3,3,color change,,,x,,,,,56,53,3,no,0,0,0
23,23,1,1,1,39,39,R,24.1,32.6,color change,2014-10-30,2014-11-10,YES,R,23,1,FB-Y-40,16,FB-X-230,21,Male,Yes,24.1,1,color change,,,x,,,,,39,28,11,no,0,0,0
24,24,1,1,1,39,39,R,24.8,32.3,exophthalmia,2014-11-14,2014-11-25,YES,R,23,1,FB-Y-40,16,FB-X-230,21,Male,Yes,24.8,2,exophthalmia,,,,,,x,,54,43,11,no,0,0,0
25,25,1,1,1,39,39,R,22,17.8,exophthalmia,2014-11-20,2014-11-28,YES,R,23,1,FB-Y-40,16,FB-X-230,21,Male,Yes,22,1,exophthalmia,,,,,,x,,57,49,8,no,0,0,0
26,26,1,2,2,23,23,D,32.5,32.3,belly up,2014-10-06,2014-10-07,YES,D,D,2,FB-Y-94,27,FB-X-180,25,NA,Yes,32.5,3,belly up,,x,,,,,,5,4,1,no,0,0,0
27,27,1,2,2,23,23,D,27.3,26.9,belly up,2014-10-07,2014-10-07,YES,D,D,2,FB-Y-94,27,FB-X-180,25,NA,Yes,27.3,2,belly up,,x,,,,,,5,5,0,no,0,0,0
28,28,1,2,2,23,23,D,40.3,40.1,color change,2014-10-05,2014-10-07,YES,D,D,2,FB-Y-94,27,FB-X-180,25,NA,Yes,40.3,5,color change,,,x,,,,,5,3,2,no,0,0,0
29,29,1,2,2,23,23,D,25,25,color change,2014-10-05,2014-10-08,YES,D,D,2,FB-Y-94,27,FB-X-180,25,NA,Yes,25,2,color change,,,x,,,,,6,3,3,no,0,0,0
30,30,1,2,2,23,23,D,17.7,17.6,color change,2014-10-05,2014-10-08,YES,D,D,2,FB-Y-94,27,FB-X-180,25,NA,Yes,17.7,1,color change,,,x,,,,,6,3,3,no,0,0,0
31,31,1,2,2,20,20,R,30.4,64.1,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-145,1,FB-X-356,10,Male,Yes,30.4,3,NA,,,,,,,,104,104,NA,no,1,1,no
32,32,1,2,2,20,20,R,32.6,72.6,NA,2015-01-04,2015-01-14,Slaughtered,R,23,2,FB-Y-145,1,FB-X-356,10,Female,Yes,32.6,3,NA,,,,,,,,104,94,10,no,1,0,1
33,33,1,2,2,20,20,R,33.1,65.7,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-145,1,FB-X-356,10,Male,Yes,33.1,3,NA,,,,,,,,104,104,NA,no,1,1,no
34,34,1,2,2,20,20,R,36.1,46.3,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-145,1,FB-X-356,10,Male,Yes,36.1,4,NA,,,,,,,,104,104,NA,no,1,1,no
35,35,1,2,2,20,20,R,22,61.5,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-145,1,FB-X-356,10,Female,Yes,22,1,NA,,,,,,,,104,104,NA,no,1,1,no
36,36,1,2,2,7,7,R,55.4,87,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-162,7,FB-X-353,8,Female,Yes,55.4,6,NA,,,,,,,,104,104,NA,no,1,1,no
37,37,1,2,2,7,7,R,41.5,89.7,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-162,7,FB-X-353,8,Male,Yes,41.5,5,NA,,,,,,,,104,104,NA,no,1,1,no
38,38,1,2,2,7,7,R,52.6,46.8,NA,NA,2014-12-10,YES,R,23,2,FB-Y-162,7,FB-X-353,8,Male,Yes,52.6,6,NA,,,,,,,,69,NA,NA,no,0,no,no
39,39,1,2,2,7,7,R,46,83.9,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-162,7,FB-X-353,8,Female,Yes,46,5,NA,,,,,,,,104,104,NA,no,1,1,no
40,40,1,2,2,7,7,R,40.6,64.4,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-162,7,FB-X-353,8,Male,Yes,40.6,5,NA,,,,,,,,104,104,NA,no,1,1,no
41,41,1,2,2,19,19,R,36,73.8,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-152,4,FB-X-350,7,Female,Yes,36,4,NA,,,,,,,,104,104,NA,no,1,1,no
42,42,1,2,2,19,19,R,20.3,46.3,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-152,4,FB-X-350,7,Female,Yes,20.3,1,NA,,,,,,,,104,104,NA,no,1,1,no
43,43,1,2,2,19,19,R,18.6,24.8,color change,2014-10-06,2015-01-14,Slaughtered,R,23,2,FB-Y-152,4,FB-X-350,7,Male,Yes,18.6,1,color change,,,x,,,,,104,4,100,no,1,0,1
44,44,1,2,2,19,19,R,22.4,51.9,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-152,4,FB-X-350,7,Male,Yes,22.4,1,NA,,,,,,,,104,104,NA,no,1,1,no
45,45,1,2,2,19,19,R,21.7,36.8,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-152,4,FB-X-350,7,Female,Yes,21.7,1,NA,,,,,,,,104,104,NA,no,1,1,no
46,46,1,2,2,30,30,R,27.2,66,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-1,12,FB-X-183,26,Female,Yes,27.2,2,NA,,,,,,,,104,104,NA,no,1,1,no
47,47,1,2,2,30,30,R,30.9,44.6,exophthalmia,2014-11-27,2014-12-14,YES,R,23,2,FB-Y-1,12,FB-X-183,26,NA,Yes,30.9,3,exophthalmia,,,,,,x,,73,56,17,no,0,0,0
48,48,1,2,2,30,30,R,30.1,33.3,color change,2014-11-08,2014-11-24,YES,R,23,2,FB-Y-1,12,FB-X-183,26,Male,Yes,30.1,3,color change,,,x,,,,,53,37,16,no,0,0,0
49,49,1,2,2,30,30,R,22.8,66,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-1,12,FB-X-183,26,NA,Yes,22.8,1,NA,,,,,,,,104,104,NA,no,1,1,no
50,50,1,2,2,30,30,R,17.4,44.6,NA,NA,2015-01-14,Slaughtered,R,23,2,FB-Y-1,12,FB-X-183,26,Male,Yes,17.4,1,NA,,,,,,,,73,NA,NA,yes,no,no,no
51,51,1,3,3,23,23,D,24.3,24.5,color change,2014-10-05,2014-10-07,YES,D,D,3,FB-Y-94,27,FB-X-180,25,NA,No,24.3,2,color change,,,x,,,,,5,3,2,no,0,0,0
52,52,1,3,3,23,23,D,23.6,22.1,exophthalmia,2014-10-05,2014-10-08,YES,D,D,3,FB-Y-94,27,FB-X-180,25,NA,Yes,23.6,1,exophthalmia,,,,,,x,,6,3,3,no,0,0,0
53,53,1,3,3,23,23,D,27.1,24.9,Ascite ,2014-10-07,2014-10-08,YES,D,D,3,FB-Y-94,27,FB-X-180,25,NA,Yes,27.1,2,Ascite ,x,,,,,,,6,5,1,no,0,0,0
54,54,1,3,3,23,23,D,19.6,17.2,exophthalmia,2014-10-05,2014-10-07,YES,D,D,3,FB-Y-94,27,FB-X-180,25,NA,Yes,19.6,1,exophthalmia,,,,,,x,,5,3,2,no,0,0,0
55,55,1,3,3,23,23,D,21.3,18.5,exophthalmia,2014-10-05,2014-10-07,YES,D,D,3,FB-Y-94,27,FB-X-180,25,NA,Yes,21.3,1,exophthalmia,,,,,,x,,5,3,2,no,0,0,0
56,56,1,3,3,33,33,R,43.7,52.5,exophthalmia,2014-11-26,2014-11-30,YES,R,23,3,FB-Y-146,2,FB-X-351,9,NA,No,43.7,5,exophthalmia,,,,,,x,,59,55,4,no,0,0,0
57,57,1,3,3,33,33,R,36.5,51.4,NA,NA,2014-12-29,YES,R,23,3,FB-Y-146,2,FB-X-351,9,Female,Yes,36.5,4,NA,,,,,,,,88,NA,NA,no,0,no,no
58,58,1,3,3,33,33,R,29.6,36.5,color change,2014-11-19,2014-11-21,YES,R,23,3,FB-Y-146,2,FB-X-351,9,Female,Yes,29.6,3,color change,,,x,,,,,50,48,2,no,0,0,0
59,59,1,3,3,33,33,R,30.1,74.9,NA,NA,2015-01-14,Slaughtered,R,23,3,FB-Y-146,2,FB-X-351,9,Female,Yes,30.1,3,NA,,,,,,,,104,104,NA,no,1,1,no
60,60,1,3,3,33,33,R,32.3,39.5,belly up,2014-10-24,2014-10-26,YES,R,23,3,FB-Y-146,2,FB-X-351,9,Female,Yes,32.3,3,belly up,,x,,,,,,24,22,2,no,0,0,0
61,61,1,3,3,13,13,R,26.1,30,wound in the fin labeled,2014-11-10,2014-11-19,YES,R,23,3,FB-Y-85,21,FB-X-5,23,Male,Yes,26.1,2,wound in the fin labeled,,,,,,,x,48,39,9,no,0,0,0
62,62,1,3,3,13,13,R,23.6,25.5,wound in the fin labeled,2014-11-19,2014-12-15,YES,R,23,3,FB-Y-85,21,FB-X-5,23,Male,Yes,23.6,1,wound in the fin labeled,,,,,,,x,74,48,26,no,0,0,0
63,63,1,3,3,13,13,R,25.4,24.5,color change,2014-10-19,2014-11-14,YES,R,23,3,FB-Y-85,21,FB-X-5,23,Male,Yes,25.4,2,color change,,,x,,,,,43,17,26,no,0,0,0
64,64,1,3,3,13,13,R,26.1,29.1,exophthalmia,2014-11-09,2014-12-01,YES,R,23,3,FB-Y-85,21,FB-X-5,23,Male,Yes,26.1,2,exophthalmia,,,,,,x,,60,38,22,no,0,0,0
65,65,1,3,3,13,13,R,18.1,17.1,belly up,2014-10-25,2014-11-11,YES,R,23,3,FB-Y-85,21,FB-X-5,23,Male,Yes,18.1,1,belly up,,x,,,,,,40,23,17,no,0,0,0
66,66,1,3,3,18,18,R,29.9,30,exophthalmia,2014-10-27,2014-11-10,YES,R,23,3,FB-Y-5,13,FB-X-168,18,Male,Yes,29.9,3,exophthalmia,,,,,,x,,39,25,14,no,0,0,0
67,67,1,3,3,18,18,R,40.6,53.6,wound in the fin labeled,2014-11-12,2014-11-23,YES,R,23,3,FB-Y-5,13,FB-X-168,18,Male,Yes,40.6,5,wound in the fin labeled,,,,,,,x,52,41,11,no,0,0,0
68,68,1,3,3,18,18,R,39.4,55.1,NA,NA,2014-11-24,YES,R,23,3,FB-Y-5,13,FB-X-168,18,Female,Yes,39.4,5,NA,,,,,,,,53,NA,NA,no,0,no,no
69,69,1,3,3,18,18,R,38.1,45.3,exophthalmia,2014-11-14,2014-11-21,YES,R,23,3,FB-Y-5,13,FB-X-168,18,Male,Yes,38.1,4,exophthalmia,,,,,,x,,50,43,7,no,0,0,0
70,70,1,3,3,18,18,R,30,27.1,exophthalmia,2014-10-05,2014-10-04,YES,R,23,3,FB-Y-5,13,FB-X-168,18,NA,Yes,30,3,exophthalmia,,,,,,x,,2,3,-1,yes,no,no,no
71,71,1,3,3,15,15,R,47.1,50,NA,NA,2014-11-22,YES,R,23,3,FB-Y-40,16,FB-X-186,13,NA,Yes,47.1,5,NA,,,,,,,,51,NA,NA,no,0,no,no
72,72,1,3,3,15,15,R,38.3,64.7,wound in the fin labeled,2014-11-12,2015-01-14,Slaughtered,R,23,3,FB-Y-40,16,FB-X-186,13,Female,Yes,38.3,4,wound in the fin labeled,,,,,,,x,104,41,63,no,1,0,1
73,73,1,3,3,15,15,R,43.3,73,NA,NA,2014-12-04,YES,R,23,3,FB-Y-40,16,FB-X-186,13,Male,Yes,43.3,5,NA,,,,,,,,63,NA,NA,no,0,no,no
74,74,1,3,3,15,15,R,42.5,42.8,wound in the fin labeled,2014-11-07,2014-11-14,YES,R,23,3,FB-Y-40,16,FB-X-186,13,NA,Yes,42.5,5,wound in the fin labeled,,,,,,,x,43,36,7,no,0,0,0
75,75,1,3,3,15,15,R,39.7,41.6,exophthalmia,2014-11-12,2014-11-18,YES,R,23,3,FB-Y-40,16,FB-X-186,13,Male,Yes,39.7,5,exophthalmia,,,,,,x,,47,41,6,no,0,0,0
76,76,1,4,4,23,23,D,29.8,28.6,NA,NA,2014-10-09,YES,D,D,4,FB-Y-94,27,FB-X-180,25,NA,Yes,29.8,3,NA,,,,,,,,7,NA,NA,no,0,no,no
77,77,1,4,4,23,23,D,25,23.8,belly up,2014-10-06,2014-10-07,YES,D,D,4,FB-Y-94,27,FB-X-180,25,NA,Yes,25,2,belly up,,x,,,,,,5,4,1,no,0,0,0
78,78,1,4,4,23,23,D,24.2,30.2,NA,NA,2014-12-08,YES,D,D,4,FB-Y-94,27,FB-X-180,25,NA,Yes,24.2,1,NA,,,,,,,,67,NA,NA,no,0,no,no
79,79,1,4,4,23,23,D,37.6,53,wound in the dorsal area,2014-11-26,2014-12-22,YES,D,D,4,FB-Y-94,27,FB-X-180,25,NA,Yes,37.6,4,wound in the dorsal area,,,,,,,x,81,55,26,no,0,0,0
80,80,1,4,4,23,23,D,28.9,28.2,exophthalmia,2014-10-05,2014-10-07,YES,D,D,4,FB-Y-94,27,FB-X-180,25,NA,Yes,28.9,3,exophthalmia,,,,,,x,,5,3,2,no,0,0,0
81,81,1,4,4,22,22,R,32.7,38.2,color change,2014-11-08,2014-11-14,YES,R,23,4,FB-Y-146,2,FB-X-356,10,Female,Yes,32.7,3,color change,,,x,,,,,43,37,6,no,0,0,0
82,82,1,4,4,22,22,R,30.7,40.5,exophthalmia,2014-11-10,2014-11-27,YES,R,23,4,FB-Y-146,2,FB-X-356,10,Female,Yes,30.7,3,exophthalmia,,,,,,x,,56,39,17,no,0,0,0
83,83,1,4,4,22,22,R,21.7,27,wound in the head,2014-11-26,2014-12-08,YES,R,23,4,FB-Y-146,2,FB-X-356,10,Male,Yes,21.7,1,wound in the head,,,,,,,x,67,55,12,no,0,0,0
