id	sdp	group	mf	gt	pp_to_fb	fb_to_pp
1	sire		FB-Y-145	T17	2	23
2	sire		FB-Y-146	R18	4	1
3	sire		FB-Y-147	R50	9	4
4	sire		FB-Y-152	R19	3	2
5	sire		FB-Y-156	T20	17	9
6	sire		FB-Y-159	T21	21	19
7	sire		FB-Y-162	T22	8	8
8	sire		FB-Y-154	T51	7	7
9	sire		FB-Y-1	T1	5	3
10	sire		FB-Y-5	T2	16	26
11	sire		FB-Y-7	R3	25	17
12	sire		FB-Y-35	R4	14	24
13	sire		FB-Y-40	T5	28	14
14	sire		FB-Y-64	R7	13	12
15	sire		FB-Y-65	R45	20	16
16	sire		FB-Y-66	R8	15	10
17	sire		FB-Y-75	R46	11	5
18	sire		FB-Y-85	R9	29	29
19	sire		FB-Y-87	T10	6	25
20	sire		FB-Y-88	T11	23	15
21	sire		FB-Y-89	R12	27	6
22	sire		FB-Y-92	FB-Y-92	22	22
23	sire		FB-Y-94	T48	1	20
24	sire		FB-Y-112	R14	12	27
25	sire		FB-Y-131	R15	19	11
26	sire		FB-Y-130	R49	10	28
27	sire		FB-Y-58	T6	24	21
28	sire		FB-Y-100	T13	26	13
29	sire		FB-Y-143	T16	18	18
30	dam		FB-X-329	R37	36	50
31	dam		FB-X-330	T38	31	31
32	dam		FB-X-334	R39	50	34
33	dam		FB-X-343	R40	46	36
34	dam		FB-X-350	R41	32	43
35	dam		FB-X-353	T43	47	40
36	dam		FB-X-351	R42	33	30
37	dam		FB-X-356	T44	38	39
38	dam		FB-X-279	T35	42	37
39	dam		FB-X-186	R29	37	51
40	dam		FB-X-208	R32	35	54
41	dam		FB-X-302	T54	43	52
42	dam		FB-X-7	R24	52	38
43	dam		FB-X-168	R25	34	41
44	dam		FB-X-169	R26	44	44
45	dam		FB-X-189	R31	51	53
46	dam		FB-X-230	R33	54	33
47	dam		FB-X-282	R36	48	35
48	dam		FB-X-5	R23	53	47
49	dam		FB-X-178	R27	49	49
50	dam		FB-X-180	R52	30	32
51	dam		FB-X-183	T28	39	45
52	dam		FB-X-188	T30	41	42
53	dam		FB-X-232	T34	45	48
54	dam		FB-X-234	R53	40	46
55	progeny	1	1	1	55	55
56	progeny	1	2	2	56	56
57	progeny	1	3	3	57	57
58	progeny	1	4	4	58	58
59	progeny	1	5	5	59	59
60	progeny	1	6	6	1643	63
61	progeny	1	7	7	1730	80
62	progeny	1	8	8	1818	81
63	progeny	1	9	9	60	82
64	progeny	1	10	10	543	83
65	progeny	1	11	11	633	84
66	progeny	1	12	12	716	96
67	progeny	1	13	13	801	99
68	progeny	1	14	14	888	105
69	progeny	1	15	15	972	106
70	progeny	1	16	16	1061	107
71	progeny	1	17	17	1148	108
72	progeny	1	18	18	1218	109
73	progeny	1	19	19	1229	110
74	progeny	1	20	20	1235	130
75	progeny	1	21	21	1246	131
76	progeny	1	22	22	1253	132
77	progeny	1	23	23	1263	133
78	progeny	1	24	24	1274	134
79	progeny	1	25	25	1280	143
80	progeny	2	26	26	61	155
81	progeny	2	27	27	62	156
82	progeny	2	28	28	63	157
83	progeny	2	29	29	64	158
84	progeny	2	30	30	65	159
85	progeny	2	31	31	1330	180
86	progeny	2	32	32	1336	181
87	progeny	2	33	33	1337	182
88	progeny	2	34	34	1338	183
89	progeny	2	35	35	1343	184
90	progeny	2	36	36	1354	205
91	progeny	2	37	37	1361	206
92	progeny	2	38	38	1371	207
93	progeny	2	39	39	1382	208
94	progeny	2	40	40	1388	209
95	progeny	2	41	41	1399	220
96	progeny	2	42	42	66	230
97	progeny	2	43	43	1415	231
98	progeny	2	44	44	1425	232
99	progeny	2	45	45	67	233
100	progeny	2	46	46	1441	234
101	progeny	2	47	47	1448	255
102	progeny	2	48	48	1457	256
103	progeny	2	49	49	1468	257
104	progeny	2	50	50	1474	258
105	progeny	3	51	51	68	259
106	progeny	3	52	52	69	280
107	progeny	3	53	53	70	281
108	progeny	3	54	54	71	282
109	progeny	3	55	55	72	283
110	progeny	3	56	56	73	284
111	progeny	3	57	57	1531	305
112	progeny	3	58	58	1541	306
113	progeny	3	59	59	1552	307
114	progeny	3	60	60	1558	308
115	progeny	3	61	61	1569	309
116	progeny	3	62	62	1576	330
117	progeny	3	63	63	1586	331
118	progeny	3	64	64	1597	332
119	progeny	3	65	65	1603	333
120	progeny	3	66	66	1614	334
121	progeny	3	67	67	1621	355
122	progeny	3	68	68	1631	356
123	progeny	3	69	69	1642	357
124	progeny	3	70	70	1649	358
125	progeny	3	71	71	1660	359
126	progeny	3	72	72	1667	373
127	progeny	3	73	73	1677	374
128	progeny	3	74	74	1688	380
129	progeny	3	75	75	1694	381
130	progeny	4	76	76	74	382
131	progeny	4	77	77	75	383
132	progeny	4	78	78	76	384
133	progeny	4	79	79	77	405
134	progeny	4	80	80	78	406
135	progeny	4	81	81	1745	407
136	progeny	4	82	82	1752	408
137	progeny	4	83	83	1762	409
138	progeny	4	84	84	1773	430
139	progeny	4	85	85	1779	431
140	progeny	4	86	86	1790	432
141	progeny	4	87	87	1797	433
142	progeny	4	88	88	1807	434
143	progeny	4	89	89	79	455
144	progeny	4	90	90	1820	456
